Sample	abricate	ampcombi	ampir	AMPlify	amrfinderplus	amrfinderplus-database	antismash	argnorm	comBGC	deeparg	deepbgc	prodigal	fargene	gecco	gunzip	hamronization	macrel	pyrodigal	rgi	rgi-database	seqkit	untar	nf-core/funcscan	Nextflow
ABRICATE_RUN	1.0.1																							
AMPCOMBI2_CLUSTER		2.0.1																						
AMPCOMBI2_COMPLETE		2.0.1																						
AMPCOMBI2_PARSETABLES		2.0.1																						
AMPIR			1.1.0																					
AMPLIFY_PREDICT				2.0.0																				
AMP_DATABASE_DOWNLOAD		2.0.1																						
AMRFINDERPLUS_RUN					4.0.23	null																		
AMRFINDERPLUS_UPDATE					4.0.23																			
ANTISMASH_ANTISMASH							8.0.1																	
ANTISMASH_ANTISMASHDOWNLOADDATABASES							8.0.1																	
ARGNORM_ABRICATE								0.5.0																
ARGNORM_DEEPARG								0.5.0																
COMBGC									null															
DEEPARG_DOWNLOADDATA										1.0.4														
DEEPARG_PREDICT										1.0.4														
DEEPBGC_DOWNLOAD											0.1.31													
DEEPBGC_PIPELINE											0.1.31	2.6.3												
FARGENE													0.1											
GECCO_RUN														0.9.10										
GUNZIP_MACREL_ORFS															1.13									
GUNZIP_MACREL_PRED															1.13									
GUNZIP_PYRODIGAL_FAA															1.13									
GUNZIP_PYRODIGAL_FNA															1.13									
GUNZIP_PYRODIGAL_GBK															1.13									
HAMRONIZATION_ABRICATE																1.1.9								
HAMRONIZATION_AMRFINDERPLUS																1.1.9								
HAMRONIZATION_DEEPARG																1.1.9								
HAMRONIZATION_RGI																1.1.9								
HAMRONIZATION_SUMMARIZE																1.1.9								
MACREL_CONTIGS																	1.4.0							
PYRODIGAL																		3.6.3						
RGI_CARDANNOTATION																			6.0.5	4.0.1				
RGI_MAIN																			6.0.5	4.0.1				
SEQKIT_SEQ_LENGTH																					v2.9.0			
UNTAR_CARD																						1.34		
Workflow																							v3.0.0-gfa9db01	25.10.0
