task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	96/c11e8d	1501	NFCORE_FUNCSCAN:FUNCSCAN:SEQKIT_SEQ_LENGTH (CONTROL_REP3)	COMPLETED	0	2025-12-19 10:55:24.287	5.2s	0ms	96.6%	29.2 MB	1.2 GB	4.6 MB	4.5 MB
1	6a/3f3329	1509	NFCORE_FUNCSCAN:FUNCSCAN:AMP:AMP_DATABASE_DOWNLOAD	COMPLETED	0	2025-12-19 10:55:24.309	2m 47s	1m 35s	2.9%	96.6 MB	690.6 MB	54.8 MB	10.3 MB
2	e2/5dcb6c	1645	NFCORE_FUNCSCAN:FUNCSCAN:ARG:AMRFINDERPLUS_UPDATE (update)	COMPLETED	0	2025-12-19 10:55:29.491	5m 15s	3m 29s	6.3%	22.8 MB	167.3 MB	589.7 MB	513.4 MB
3	80/3387d3	3054	NFCORE_FUNCSCAN:FUNCSCAN:ARG:UNTAR_CARD (data)	COMPLETED	0	2025-12-19 11:00:44.041	16.3s	3.1s	102.8%	18 MB	30 MB	113 MB	156 MB
6	e8/29971d	1647	NFCORE_FUNCSCAN:FUNCSCAN:BGC:DEEPBGC_DOWNLOAD	COMPLETED	0	2025-12-19 10:55:29.498	11m 30s	8m 47s	9.1%	120.9 MB	423.3 MB	3.2 GB	3 GB
8	24/ac4644	4719	NFCORE_FUNCSCAN:FUNCSCAN:SEQKIT_SEQ_LENGTH (CONTROL_REP2)	COMPLETED	0	2025-12-19 11:06:59.371	923ms	0ms	109.9%	7.4 MB	1.2 GB	5.5 MB	5.4 MB
7	49/f103fd	4795	NFCORE_FUNCSCAN:FUNCSCAN:SEQKIT_SEQ_LENGTH (CONTROL_REP1)	COMPLETED	0	2025-12-19 11:07:01.338	888ms	0ms	93.6%	25.2 MB	1.2 GB	4.6 MB	4.5 MB
5	02/4c5c81	1521	NFCORE_FUNCSCAN:FUNCSCAN:BGC:ANTISMASH_ANTISMASHDOWNLOADDATABASES	COMPLETED	0	2025-12-19 10:55:24.323	20m 24s	18m 10s	24.6%	2.2 GB	4.1 GB	10.4 GB	13 GB
4	70/9e315b	2311	NFCORE_FUNCSCAN:FUNCSCAN:ARG:DEEPARG_DOWNLOADDATA	COMPLETED	0	2025-12-19 10:58:11.579	17m 45s	16m 32s	10.3%	89.5 MB	690.5 MB	3.5 GB	4.8 GB
11	5a/209ffe	6738	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:PYRODIGAL (CONTROL_REP2)	COMPLETED	0	2025-12-19 11:15:56.167	42.6s	25s	104.2%	168.6 MB	668.7 MB	53.9 MB	51.3 MB
10	b5/46db33	6966	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:PYRODIGAL (CONTROL_REP1)	COMPLETED	0	2025-12-19 11:16:38.851	22.2s	21s	101.9%	145.9 MB	649.4 MB	46.2 MB	42.8 MB
12	f9/51ec96	7153	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:PYRODIGAL (CONTROL_REP3)	COMPLETED	0	2025-12-19 11:17:01.053	17s	16s	104.1%	144.7 MB	649.4 MB	46.2 MB	42.8 MB
13	a3/c34598	7333	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:PYRODIGAL (CONTROL_REP3)	COMPLETED	0	2025-12-19 11:17:18.104	19.2s	19s	104.2%	144.2 MB	649.5 MB	46.3 MB	42.8 MB
14	35/2288d0	7506	NFCORE_FUNCSCAN:FUNCSCAN:ARG:RGI_CARDANNOTATION	COMPLETED	0	2025-12-19 11:17:37.390	1m 29s	8s	99.0%	391.7 MB	2.2 GB	213.9 MB	64.4 MB
15	3e/be7947	7937	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:PYRODIGAL (CONTROL_REP2)	COMPLETED	0	2025-12-19 11:19:06.799	25.1s	24s	106.9%	162.4 MB	664.2 MB	53.9 MB	51.4 MB
16	77/6cbf95	8136	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:PYRODIGAL (CONTROL_REP1)	COMPLETED	0	2025-12-19 11:19:31.932	22.7s	24s	103.8%	144.3 MB	649.5 MB	46.2 MB	42.8 MB
17	39/56bc6a	8327	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_FAA (CONTROL_REP2_pyrodigal.faa.gz)	COMPLETED	0	2025-12-19 11:19:54.632	1.5s	111ms	38.5%	3.5 MB	4.6 MB	1.2 MB	2.2 MB
20	bd/414ec0	8391	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_FNA (CONTROL_REP1_pyrodigal.fna.gz)	COMPLETED	0	2025-12-19 11:19:54.735	1.5s	99ms	50.0%	3.5 MB	4.6 MB	1.4 MB	4.5 MB
18	51/dc3707	8373	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_GBK (CONTROL_REP2_pyrodigal.gbk.gz)	COMPLETED	0	2025-12-19 11:19:54.708	1.5s	190ms	58.5%	5.2 MB	8.1 MB	3.4 MB	10.3 MB
19	04/48cd49	8352	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_FNA (CONTROL_REP2_pyrodigal.fna.gz)	COMPLETED	0	2025-12-19 11:19:54.676	1.6s	125ms	40.0%	5.1 MB	8.1 MB	1.7 MB	5.4 MB
21	2e/316840	8526	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_GBK (CONTROL_REP1_pyrodigal.gbk.gz)	COMPLETED	0	2025-12-19 11:19:56.157	1.8s	283ms	47.9%	5.2 MB	8.1 MB	2.9 MB	8.5 MB
22	13/f23c89	8567	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_FAA (CONTROL_REP1_pyrodigal.faa.gz)	COMPLETED	0	2025-12-19 11:19:56.248	1.8s	174ms	36.0%	3.4 MB	4.6 MB	997.2 KB	1.8 MB
23	a5/874c5e	8593	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_GBK (CONTROL_REP3_pyrodigal.gbk.gz)	COMPLETED	0	2025-12-19 11:19:56.332	2.3s	213ms	80.0%	5.1 MB	8.1 MB	2.9 MB	8.5 MB
25	7b/26e86e	8629	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_FAA (CONTROL_REP3_pyrodigal.faa.gz)	COMPLETED	0	2025-12-19 11:19:56.478	2.2s	133ms	55.4%	3.4 MB	4.6 MB	997.9 KB	1.9 MB
24	58/a27259	8732	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_FNA (CONTROL_REP3_pyrodigal.fna.gz)	COMPLETED	0	2025-12-19 11:19:58.070	1.8s	280ms	30.8%	3.5 MB	4.6 MB	1.4 MB	4.5 MB
27	9b/9f8c4b	8753	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_FNA (CONTROL_REP3_pyrodigal.fna.gz)	COMPLETED	0	2025-12-19 11:19:58.238	1.8s	302ms	32.6%	5 MB	8.1 MB	1.4 MB	4.5 MB
28	47/5da904	8816	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_FAA (CONTROL_REP3_pyrodigal.faa.gz)	COMPLETED	0	2025-12-19 11:19:58.842	1.7s	67ms	57.1%	3.4 MB	4.6 MB	997.9 KB	1.9 MB
26	c3/26c840	8813	NFCORE_FUNCSCAN:FUNCSCAN:ANNOTATION:GUNZIP_PYRODIGAL_GBK (CONTROL_REP3_pyrodigal.gbk.gz)	COMPLETED	0	2025-12-19 11:19:58.692	1.9s	184ms	53.7%	5 MB	8.1 MB	2.9 MB	8.5 MB
