sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_235329-277370.1	235329	277370	42041	37	65	3	0.81659		0.35	0.49	0.22	0.09		0.06	0.06	0.30	0.25	0.23	0.00	0.17	BA000007.3_203;BA000007.3_204;BA000007.3_205;BA000007.3_206;BA000007.3_207;BA000007.3_208;BA000007.3_209;BA000007.3_210;BA000007.3_211;BA000007.3_212;BA000007.3_213;BA000007.3_214;BA000007.3_215;BA000007.3_216;BA000007.3_217;BA000007.3_218;BA000007.3_219;BA000007.3_220;BA000007.3_221;BA000007.3_222;BA000007.3_223;BA000007.3_224;BA000007.3_225;BA000007.3_226;BA000007.3_227;BA000007.3_228;BA000007.3_229;BA000007.3_230;BA000007.3_231;BA000007.3_232;BA000007.3_233;BA000007.3_234;BA000007.3_235;BA000007.3_236;BA000007.3_237;BA000007.3_238;BA000007.3_239	PF08241;PF00891;PF08242	PF05401;PF01209;PF05175;PF08003;PF13679;PF05219;PF13489;PF05148;PF06325;PF07021;PF13847;PF03848;PF03141;PF00891;PF13649;PF08241;PF08242;PF01476;PF01464;PF16123;PF00753;PF12706;PF08241;PF13649;PF01209;PF00075;PF16473;PF00929;PF07007;PF05638;PF12486;PF06812;PF06744;PF06761;PF14331;PF16989;PF14904;PF06812;PF11319;PF10431;PF07724;PF07728;PF00004;PF13401;PF13191;PF09850;PF05936;PF12790;PF06996;PF05947;PF04965;PF05943;PF05943;PF05591;PF05638;PF05954;PF05593;PF03527;PF14559;PF13808;PF01609;PF05593;PF03527;PF13808;PF01609
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_672998-713470.1	672998	713470	40472	33	76	9	0.79329	antibacterial	0.50	0.20	0.07	0.18	NRP	0.00	0.67	0.13	0.13	0.04	0.09	0.00	BA000007.3_588;BA000007.3_589;BA000007.3_590;BA000007.3_591;BA000007.3_592;BA000007.3_593;BA000007.3_594;BA000007.3_595;BA000007.3_596;BA000007.3_597;BA000007.3_598;BA000007.3_599;BA000007.3_600;BA000007.3_601;BA000007.3_602;BA000007.3_603;BA000007.3_604;BA000007.3_605;BA000007.3_606;BA000007.3_607;BA000007.3_608;BA000007.3_609;BA000007.3_610;BA000007.3_611;BA000007.3_612;BA000007.3_613;BA000007.3_614;BA000007.3_615;BA000007.3_616;BA000007.3_617;BA000007.3_618;BA000007.3_619;BA000007.3_620	PF00975;PF00106;PF00668;PF03061;PF02706;PF00857;PF08659;PF01370;PF00501	PF08786;PF05954;PF02518;PF14501;PF00512;PF00672;PF00486;PF00072;PF02321;PF11604;PF00529;PF16576;PF16572;PF13437;PF00873;PF03176;PF00324;PF13520;PF03845;PF00924;PF00881;PF14512;PF04237;PF06643;PF04107;PF04262;PF01848;PF01848;PF01648;PF00593;PF14905;PF07715;PF11806;PF00756;PF00326;PF03621;PF00668;PF00501;PF13193;PF00550;PF00975;PF02706;PF13807;PF01936;PF02463;PF00005;PF13191;PF13521;PF01078;PF13238;PF13481;PF13555;PF13175;PF13401;PF13514;PF03193;PF13304;PF13476;PF01032;PF01032;PF05977;PF07690;PF01497;PF00425;PF00501;PF13193;PF00857;PF00550;PF00106;PF01370;PF13561;PF04127;PF08659;PF03061;PF02554;PF13722
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_849861-851307.1	849861	851307	1446	1	1	0	0.51858	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	BA000007.3_744		PF06368
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_930334-931624.1	930334	931624	1290	1	1	1	0.54336	antibacterial	0.85	0.06	0.20	0.27		0.00	0.01	0.50	0.02	0.02	0.00	0.45	BA000007.3_828	PF00202	PF00202
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_933888-935314.1	933888	935314	1426	2	11	2	0.73152		0.36	0.46	0.20	0.03		0.03	0.03	0.34	0.03	0.22	0.02	0.33	BA000007.3_831;BA000007.3_832	PF08241;PF08242	PF13489;PF05148;PF05175;PF01209;PF13847;PF13649;PF08241;PF08242;PF13500;PF07755;PF01656
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1103179-1105969.1	1103179	1105969	2790	3	18	2	0.70643		0.35	0.46	0.24	0.01		0.05	0.03	0.36	0.06	0.11	0.00	0.39	BA000007.3_982;BA000007.3_983;BA000007.3_984	PF08241;PF08242	PF01209;PF13489;PF05724;PF12847;PF05175;PF05219;PF13679;PF13847;PF02353;PF09445;PF13649;PF08241;PF08242;PF13578;PF03882;PF17192;PF17193;PF04288
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1254168-1257707.1	1254168	1257707	3539	6	5	0	0.50028	antibacterial	0.81	0.07	0.15	0.27		0.00	0.06	0.10	0.26	0.32	0.03	0.27	BA000007.3_1143;BA000007.3_1144;BA000007.3_1145;BA000007.3_1146;BA000007.3_1147;BA000007.3_1148		PF10800;PF00717;PF13560;PF12844;PF01381
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1355611-1378798.1	1355611	1378798	23187	19	30	7	0.81150	antibacterial	0.68	0.19	0.12	0.19	Polyketide	0.00	0.18	0.18	0.63	0.05	0.05	0.01	BA000007.3_1249;BA000007.3_1250;BA000007.3_1251;BA000007.3_1252;BA000007.3_1253;BA000007.3_1254;BA000007.3_1255;BA000007.3_1256;BA000007.3_1257;BA000007.3_1258;BA000007.3_1259;BA000007.3_1260;BA000007.3_1261;BA000007.3_1262;BA000007.3_1263;BA000007.3_1264;BA000007.3_1265;BA000007.3_1266;BA000007.3_1267	PF00106;PF02719;PF08659;PF02801;PF00698;PF01370;PF00109	PF01648;PF00106;PF08659;PF01370;PF02719;PF16363;PF13561;PF07977;PF00550;PF01571;PF08669;PF00109;PF02801;PF00109;PF02801;PF03193;PF03215;PF00005;PF13555;PF13401;PF13304;PF12704;PF02687;PF17131;PF00698;PF05969;PF13356;PF00589;PF13148;PF11726
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1384001-1384769.1	1384001	1384769	768	2	4	0	0.53371	antibacterial	0.84	0.07	0.16	0.32		0.00	0.10	0.11	0.29	0.22	0.04	0.29	BA000007.3_1272;BA000007.3_1273		PF01527;PF13518;PF13936;PF13384
BA000007.3	deepbgc	0.1.0	deepbgc	BA000007.3_1387677-1396311.1	1387677	1396311	8634	12	18	0	0.71103	antibacterial	0.70	0.08	0.18	0.22		0.01	0.07	0.23	0.21	0.21	0.00	0.30	BA000007.3_1278;BA000007.3_1279;BA000007.3_1280;BA000007.3_1281;BA000007.3_1282;BA000007.3_1283;BA000007.3_1284;BA000007.3_1285;BA000007.3_1286;BA000007.3_1287;BA000007.3_1288;BA000007.3_1289		PF01219;PF00884;PF08019;PF01774;PF00547;PF00699;PF00449;PF01979;PF07969;PF02814;PF05194;PF01730;PF13191;PF03308;PF01926;PF02492;PF01527;PF09716
