locus_tag	ftype	length_bp	gene	EC_number	COG	product
HHCJEDMM_00001	CDS	159				hypothetical protein
HHCJEDMM_00002	CDS	102				hypothetical protein
HHCJEDMM_00003	CDS	102				hypothetical protein
HHCJEDMM_00004	CDS	180				hypothetical protein
HHCJEDMM_00005	CDS	195				hypothetical protein
HHCJEDMM_00006	CDS	126				hypothetical protein
HHCJEDMM_00007	CDS	126				hypothetical protein
HHCJEDMM_00008	CDS	201				hypothetical protein
HHCJEDMM_00009	CDS	102				hypothetical protein
