sequence_id	protein_id	start	end	strand	domain	hmm	i_evalue	pvalue	domain_start	domain_end	cluster_probability
AB011549.2	AB011549.2_3	3465	5432	+	PF03958	Pfam	9.758454785948294e-12	3.5280024533435626e-15	129	189	6.81716009627305e-7
AB011549.2	AB011549.2_3	3465	5432	+	PF03958	Pfam	1.1456924706886638e-14	4.142055208563499e-18	194	263	6.81716009627305e-7
AB011549.2	AB011549.2_3	3465	5432	+	PF03958	Pfam	2.340661318360773e-18	8.46226073160077e-22	269	346	6.81716009627305e-7
AB011549.2	AB011549.2_3	3465	5432	+	PF00263	Pfam	6.724376100807628e-48	2.4310831890121578e-51	426	591	6.81716009627305e-7
AB011549.2	AB011549.2_4	5432	6937	+	PF00437	Pfam	4.373592651480071e-108	1.5811976324946026e-111	124	390	0.0007892944418580163
AB011549.2	AB011549.2_5	6939	8162	+	PF00482	Pfam	1.422520555511922e-29	5.1428798102383296e-33	73	195	5.105030126740688e-6
AB011549.2	AB011549.2_5	6939	8162	+	PF00482	Pfam	2.1875255795343372e-28	7.908624654860221e-32	276	396	5.105030126740688e-6
AB011549.2	AB011549.2_6	8193	8627	+	PF07963	Pfam	1.532926352064195e-10	5.542033087723048e-14	4	28	0.0013199583981287932
AB011549.2	AB011549.2_8	9175	9540	+	PF07963	Pfam	1.7478856993018035e-6	6.319181848524235e-10	1	26	0.000899095425734448
AB011549.2	AB011549.2_9	9537	10136	+	PF07963	Pfam	2.647008681719103e-7	9.569807236873114e-11	5	28	0.00223043862913598
AB011549.2	AB011549.2_13	12878	13711	+	PF06750	Pfam	4.619883510822989e-29	1.6702398809916809e-32	22	127	0.0000314885681248232
AB011549.2	AB011549.2_13	12878	13711	+	PF01478	Pfam	1.0995503495179503e-25	3.975236260007051e-29	138	245	0.0000314885681248232
AB011549.2	AB011549.2_16	14901	15554	+	PF00665	Pfam	6.690776572350926e-27	2.41893585406758e-30	46	144	0.02240573577745251
AB011549.2	AB011549.2_16	14901	15554	+	PF13683	Pfam	1.594179987130146e-13	5.763485130622365e-17	133	199	0.02240573577745251
AB011549.2	AB011549.2_17	16095	16610	+	PF02794	Pfam	6.965937308066647e-36	2.5184155126777462e-39	8	129	0.027779934034905123
AB011549.2	AB011549.2_18	16612	19608	+	PF00353	Pfam	2.789893550230099e-9	1.0086383044938898e-12	725	760	0.01741334847887455
AB011549.2	AB011549.2_18	16612	19608	+	PF00353	Pfam	2.1986513331193797e-10	7.948847914386767e-14	735	769	0.01741334847887455
AB011549.2	AB011549.2_18	16612	19608	+	PF00353	Pfam	1.3801604430569547e-9	4.989734067451029e-13	753	786	0.01741334847887455
AB011549.2	AB011549.2_18	16612	19608	+	PF00353	Pfam	6.58814994249024e-8	2.3818329510087636e-11	798	831	0.01741334847887455
AB011549.2	AB011549.2_19	19658	21778	+	PF03412	Pfam	3.4119708351224954e-23	1.233539709010302e-26	11	129	0.10156055510553884
AB011549.2	AB011549.2_19	19658	21778	+	PF00664	Pfam	4.392629340782141e-59	1.5880800219747434e-62	158	424	0.10156055510553884
AB011549.2	AB011549.2_19	19658	21778	+	PF00005	Pfam	2.0778806689979562e-35	7.5122222306506e-39	485	634	0.10156055510553884
AB011549.2	AB011549.2_22	23512	23796	+	PF08279	Pfam	2.506307824329762e-8	9.061127347540716e-12	2	42	0.01122479671852084
AB011549.2	AB011549.2_22	23512	23796	+	PF12802	Pfam	8.006748971325544e-9	2.8947031711227565e-12	2	54	0.01122479671852084
AB011549.2	AB011549.2_22	23512	23796	+	PF01047	Pfam	3.2678321505746452e-12	1.1814288324564878e-15	3	54	0.01122479671852084
AB011549.2	AB011549.2_23	24316	25056	+	PF00589	Pfam	7.143186874272905e-29	2.582497062282323e-32	44	216	0.016621966320607875
AB011549.2	AB011549.2_31	29208	30014	+	PF00589	Pfam	1.9043938104453623e-43	6.885010160684607e-47	50	241	0.02413439315691054
AB011549.2	AB011549.2_32	30736	31623	-	PF13276	Pfam	5.09931793436868e-18	1.843571198253319e-21	47	103	0.03376682164656105
AB011549.2	AB011549.2_32	30736	31623	-	PF00665	Pfam	7.534593534322737e-22	2.7240034469713437e-25	126	221	0.03376682164656105
