input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	confers_resistance_to	resistance_to_drug_classes
CONTROL_REP2.mapping.potential.ARG.deeparg	ACRB	NC_002695.1.914619.p01|FEATURES|acrB|multidrug|acrB	deeparg_db	2	NC_002695.1.914619.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	1049				BA000007.3_499															100.0	ARO:3000216	ARO:0000045	ARO:3005386
CONTROL_REP2.mapping.potential.ARG.deeparg	ACRB	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					aminoglycoside		1	1049				BA000007.3_499															100.0			
CONTROL_REP2.mapping.potential.ARG.deeparg	YOJI	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					glycopeptide		1	547				BA000007.3_3013															99.3			
CONTROL_REP2.mapping.potential.ARG.deeparg	DFRA3	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					aminoglycoside		2	161				BA000007.3_49															51.3			
CONTROL_REP2.mapping.potential.ARG.deeparg	DFRA3	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					peptide		2	161				BA000007.3_49															51.3			
CONTROL_REP2.mapping.potential.ARG.deeparg	MCR-3	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					glycopeptide		5	538				BA000007.3_1279															54.7			
CONTROL_REP2.mapping.potential.ARG.deeparg	MCR-3	ASF81896.1|FEATURES|MCR-3|peptide|MCR-3	deeparg_db	2	ASF81896.1	deeparg	1.0.4	gene_presence_detected					peptide		5	538				BA000007.3_1279															54.7	ARO:3004139	ARO:3000622,ARO:3000624	ARO:3000053,ARO:3000053
CONTROL_REP2.mapping.potential.ARG.deeparg	EMRA	NC_002695.1.914737.p01|FEATURES|emrA|multidrug|emrA	deeparg_db	2	NC_002695.1.914737.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	390				BA000007.3_3464															100.0	ARO:3000027		
CONTROL_REP2.mapping.potential.ARG.deeparg	EMRA	NC_002695.1.914737.p01|FEATURES|emrA|multidrug|emrA	deeparg_db	2	NC_002695.1.914737.p01	deeparg	1.0.4	gene_presence_detected					fluoroquinolone		1	390				BA000007.3_3464															100.0	ARO:3000027		
CONTROL_REP2.mapping.potential.ARG.deeparg	EPTA	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					glycopeptide		1	547				BA000007.3_5019															99.8			
CONTROL_REP2.mapping.potential.ARG.deeparg	ACRS	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					aminoglycoside		1	220				BA000007.3_4046															100.0			
CONTROL_REP2.mapping.potential.ARG.deeparg	ACRS	AAC76296.1|FEATURES|AcrS|multidrug|AcrS	deeparg_db	2	AAC76296.1	deeparg	1.0.4	gene_presence_detected					multidrug		1	220				BA000007.3_4046															100.0	ARO:3000656		
CONTROL_REP2.mapping.potential.ARG.deeparg	MSBA	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					fosfomycin		1	582				BA000007.3_975															100.0			
CONTROL_REP2.mapping.potential.ARG.deeparg	MSBA	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					peptide		1	582				BA000007.3_975															100.0			
CONTROL_REP2.mapping.potential.ARG.deeparg	ACRD	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					peptide		1	1037				BA000007.3_3248															99.8			
CONTROL_REP2.mapping.potential.ARG.deeparg	ACRD	YP_490697.1|FEATURES|acrD|aminoglycoside|acrD	deeparg_db	2	YP_490697.1	deeparg	1.0.4	gene_presence_detected					aminoglycoside		1	1037				BA000007.3_3248															99.8	ARO:3000491	ARO:0000005,ARO:0000013,ARO:0000049,ARO:0000052,ARO:3007382	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016
CONTROL_REP2.mapping.potential.ARG.deeparg	EVGS	AAC75429.1|FEATURES|evgS|multidrug|evgS	deeparg_db	2	AAC75429.1	deeparg	1.0.4	gene_presence_detected					multidrug		1	1197				BA000007.3_3164															97.8	ARO:3000833		
CONTROL_REP2.mapping.potential.ARG.deeparg	EVGS	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					peptide		1	1197				BA000007.3_3164															97.8			
CONTROL_REP2.mapping.potential.ARG.deeparg	MDTA	NC_002695.1.916584.p01|FEATURES|mdtA|multidrug|mdtA	deeparg_db	2	NC_002695.1.916584.p01	deeparg	1.0.4	gene_presence_detected					aminocoumarin		1	415				BA000007.3_2795															100.0	ARO:3000792		
CONTROL_REP2.mapping.potential.ARG.deeparg	MDTA	NC_002695.1.916584.p01|FEATURES|mdtA|multidrug|mdtA	deeparg_db	2	NC_002695.1.916584.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	415				BA000007.3_2795															100.0	ARO:3000792		
CONTROL_REP2.mapping.potential.ARG.deeparg	EMRE	NC_002695.1.913273.p01|FEATURES|emrE|multidrug|emrE	deeparg_db	2	NC_002695.1.913273.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	110				BA000007.3_1546															100.0	ARO:3004039	ARO:0000006	ARO:0000000
CONTROL_REP2.mapping.potential.ARG.deeparg	ARNA	YP_002271667|FEATURES|arnA|polymyxin|arnA	deeparg_db	2	YP_002271667	deeparg	1.0.4	gene_presence_detected					polymyxin		1	660				BA000007.3_3057															100.0	ARO:3002985	ARO:3000454	ARO:3000053
CONTROL_REP2.mapping.potential.ARG.deeparg	ARNA	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					peptide		1	660				BA000007.3_3057															100.0			
CONTROL_REP2.mapping.potential.ARG.deeparg	KLEBSIELLA_PNEUMONIAE_OMPK37	CAA09666.1|FEATURES|Klebsiella_pneumoniae_OmpK37|beta-lactam|Klebsiella_pneumoniae_OmpK37	deeparg_db	2	CAA09666.1	deeparg	1.0.4	gene_presence_detected					multidrug		1	374				BA000007.3_2002															58.3	ARO:3004122	ARO:0000004,ARO:0000008,ARO:0000020,ARO:0000032,ARO:0000044,ARO:3000008,ARO:3000645,ARO:3003706	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.potential.ARG.deeparg	KLEBSIELLA_PNEUMONIAE_OMPK37	CAA09666.1|FEATURES|Klebsiella_pneumoniae_OmpK37|beta-lactam|Klebsiella_pneumoniae_OmpK37	deeparg_db	2	CAA09666.1	deeparg	1.0.4	gene_presence_detected					beta-lactam		1	374				BA000007.3_2002															58.3	ARO:3004122	ARO:0000004,ARO:0000008,ARO:0000020,ARO:0000032,ARO:0000044,ARO:3000008,ARO:3000645,ARO:3003706	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.potential.ARG.deeparg	MDTB	NC_002695.1.916585.p01|FEATURES|mdtB|multidrug|mdtB	deeparg_db	2	NC_002695.1.916585.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	1040				BA000007.3_2796															100.0	ARO:3000793		
CONTROL_REP2.mapping.potential.ARG.deeparg	MDTB	NC_002695.1.916585.p01|FEATURES|mdtB|multidrug|mdtB	deeparg_db	2	NC_002695.1.916585.p01	deeparg	1.0.4	gene_presence_detected					aminocoumarin		1	1040				BA000007.3_2796															100.0	ARO:3000793		
CONTROL_REP2.mapping.potential.ARG.deeparg	KLEBSIELLA_PNEUMONIAE_OMPK35	undefined	deeparg_db	2	undefined	deeparg	1.0.4	gene_presence_detected					peptide		2	227				BA000007.3_1920															52.2			
CONTROL_REP2.mapping.potential.ARG.deeparg	KLEBSIELLA_PNEUMONIAE_OMPK35	YP_005226137.1|FEATURES|Klebsiella_pneumoniae_OmpK35|beta-lactam|Klebsiella_pneumoniae_OmpK35	deeparg_db	2	YP_005226137.1	deeparg	1.0.4	gene_presence_detected					beta-lactam		2	227				BA000007.3_1920															52.2	ARO:3004122	ARO:0000004,ARO:0000008,ARO:0000020,ARO:0000032,ARO:0000044,ARO:3000008,ARO:3000645,ARO:3003706	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.potential.ARG.deeparg	MDTC	NC_002695.1.916586.p01|FEATURES|mdtC|multidrug|mdtC	deeparg_db	2	NC_002695.1.916586.p01	deeparg	1.0.4	gene_presence_detected					aminocoumarin		1	1025				BA000007.3_2797															100.0	ARO:3000794		
CONTROL_REP2.mapping.potential.ARG.deeparg	MDTC	NC_002695.1.916586.p01|FEATURES|mdtC|multidrug|mdtC	deeparg_db	2	NC_002695.1.916586.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	1025				BA000007.3_2797															100.0	ARO:3000794		
