sequence_id	protein_id	start	end	strand	average_p	max_p
AB011548.2	AB011548.2_1	2	736	+	0.13894543280127658	0.13894543280127658
AB011548.2	AB011548.2_2	971	1351	-	0.1386114623654487	0.1386114623654487
AB011548.2	AB011548.2_3	1348	2388	-	0.13861536218626616	0.13861536218626616
AB011549.2	AB011549.2_1	1	2502	+	0.009678437799457408	0.009678437799457408
AB011549.2	AB011549.2_2	2589	3464	+	0.0051086839698462685	0.0051086839698462685
AB011549.2	AB011549.2_3	3465	5432	+	6.81716009627305e-7	6.81716009627305e-7
AB011549.2	AB011549.2_4	5432	6937	+	0.0007892944418580163	0.0007892944418580163
AB011549.2	AB011549.2_5	6939	8162	+	5.105030126740688e-6	5.105030126740688e-6
AB011549.2	AB011549.2_6	8193	8627	+	0.0013199583981287932	0.0013199583981287932
AB011549.2	AB011549.2_7	8624	9178	+	0.005912107967165861	0.005912107967165861
AB011549.2	AB011549.2_8	9175	9540	+	0.000899095425734448	0.000899095425734448
AB011549.2	AB011549.2_9	9537	10136	+	0.00223043862913598	0.00223043862913598
AB011549.2	AB011549.2_10	10133	11110	+	0.013795195107384518	0.013795195107384518
AB011549.2	AB011549.2_11	11224	12321	+	0.009705740248389313	0.009705740248389313
AB011549.2	AB011549.2_12	12308	12820	+	0.005137029082001969	0.005137029082001969
AB011549.2	AB011549.2_13	12878	13711	+	0.0000314885681248232	0.0000314885681248232
AB011549.2	AB011549.2_14	13803	14204	+	0.026345180542377434	0.026345180542377434
AB011549.2	AB011549.2_15	14383	14688	+	0.02349397644777742	0.02349397644777742
AB011549.2	AB011549.2_16	14901	15554	+	0.02240573577745251	0.02240573577745251
AB011549.2	AB011549.2_17	16095	16610	+	0.027779934034905123	0.027779934034905123
AB011549.2	AB011549.2_18	16612	19608	+	0.01741334847887455	0.01741334847887455
AB011549.2	AB011549.2_19	19658	21778	+	0.10156055510553884	0.10156055510553884
AB011549.2	AB011549.2_20	21782	23221	+	0.06838568987226903	0.06838568987226903
AB011549.2	AB011549.2_21	23288	23482	+	0.05090505823520139	0.05090505823520139
AB011549.2	AB011549.2_22	23512	23796	+	0.01122479671852084	0.01122479671852084
AB011549.2	AB011549.2_23	24316	25056	+	0.016621966320607875	0.016621966320607875
AB011549.2	AB011549.2_24	25146	25265	+	0.04328641249458754	0.04328641249458754
AB011549.2	AB011549.2_25	25341	26318	-	0.04131170417357244	0.04131170417357244
AB011549.2	AB011549.2_26	26726	26926	-	0.039119925150417706	0.039119925150417706
AB011549.2	AB011549.2_27	26923	27543	-	0.03668524274898749	0.03668524274898749
AB011549.2	AB011549.2_28	27540	28139	-	0.03397859521943345	0.03397859521943345
AB011549.2	AB011549.2_29	28682	28900	+	0.0309672175351712	0.0309672175351712
AB011549.2	AB011549.2_30	28902	29207	+	0.027867096346844616	0.027867096346844616
AB011549.2	AB011549.2_31	29208	30014	+	0.02413439315691054	0.02413439315691054
AB011549.2	AB011549.2_32	30736	31623	-	0.03376682164656105	0.03376682164656105
AB011549.2	AB011549.2_33	31623	31949	-	0.1193327995885137	0.1193327995885137
AB011549.2	AB011549.2_34	32837	34003	+	0.13463047586324767	0.13463047586324767
AB011549.2	AB011549.2_35	34003	34974	+	0.33697715058851796	0.33697715058851796
AB011549.2	AB011549.2_36	35359	35631	+	0.24078797242790284	0.24078797242790284
AB011549.2	AB011549.2_37	36274	37998	+	0.1538712517429844	0.1538712517429844
AB011549.2	AB011549.2_38	38075	38977	+	0.12598541589645115	0.12598541589645115
AB011549.2	AB011549.2_39	39363	40046	+	0.10077455586882529	0.10077455586882529
AB011549.2	AB011549.2_40	40047	40268	+	0.09470204903459192	0.09470204903459192
AB011549.2	AB011549.2_41	40282	40716	+	0.08924961072443244	0.08924961072443244
AB011549.2	AB011549.2_42	40762	41538	+	0.08436030482164704	0.08436030482164704
AB011549.2	AB011549.2_43	41956	42381	+	0.07998307561948101	0.07998307561948101
AB011549.2	AB011549.2_44	42428	42850	+	0.07607221468099307	0.07607221468099307
AB011549.2	AB011549.2_45	42847	43038	+	0.0725868835368372	0.0725868835368372
AB011549.2	AB011549.2_46	43008	43517	-	0.06949068723681452	0.06949068723681452
AB011549.2	AB011549.2_47	44034	44264	+	0.06675129430208278	0.06675129430208278
AB011549.2	AB011549.2_48	44316	45677	+	0.06434009910944255	0.06434009910944255
AB011549.2	AB011549.2_49	45724	46287	+	0.062231923182207896	0.062231923182207896
AB011549.2	AB011549.2_50	46287	46535	+	0.06033489375301844	0.06033489375301844
AB011549.2	AB011549.2_51	47130	47582	+	0.05870350739051168	0.05870350739051168
AB011549.2	AB011549.2_52	47639	47872	+	0.06608722813893103	0.06608722813893103
AB011549.2	AB011549.2_53	47938	49896	+	0.07425519246945317	0.07425519246945317
AB011549.2	AB011549.2_54	49951	50385	+	0.07857540678224133	0.07857540678224133
AB011549.2	AB011549.2_55	50382	51143	+	0.04601600930907868	0.04601600930907868
AB011549.2	AB011549.2_56	51317	51529	+	0.049289669047053335	0.049289669047053335
AB011549.2	AB011549.2_57	51715	53688	+	0.05293468430529789	0.05293468430529789
AB011549.2	AB011549.2_58	53792	54187	+	0.05698911750695413	0.05698911750695413
AB011549.2	AB011549.2_59	54761	55120	-	0.06149530634917504	0.06149530634917504
AB011549.2	AB011549.2_60	55326	55712	+	0.020967100995781487	0.020967100995781487
AB011549.2	AB011549.2_61	55981	65490	+	0.006598279923341328	0.006598279923341328
AB011549.2	AB011549.2_62	65582	65854	+	0.011237441620968396	0.011237441620968396
AB011549.2	AB011549.2_63	65781	66284	-	0.006056774354322788	0.006056774354322788
AB011549.2	AB011549.2_64	66473	67729	+	0.01515715779695492	0.01515715779695492
AB011549.2	AB011549.2_65	67749	68495	+	0.013819941863541811	0.013819941863541811
AB011549.2	AB011549.2_66	68554	69414	+	0.008728645278504366	0.008728645278504366
AB011549.2	AB011549.2_67	69517	70077	+	0.012965909145098199	0.012965909145098199
AB011549.2	AB011549.2_68	70210	70422	+	0.016762612645424765	0.016762612645424765
AB011549.2	AB011549.2_69	70667	71128	+	0.000019833158782412248	0.000019833158782412248
AB011549.2	AB011549.2_70	71174	71383	+	0.005137264876973686	0.005137264876973686
AB011549.2	AB011549.2_71	71421	71759	+	0.009718777567999997	0.009718777567999997
AB011549.2	AB011549.2_72	71999	72253	+	0.01381864072876772	0.01381864072876772
AB011549.2	AB011549.2_73	72556	73413	+	0.017491404635814174	0.017491404635814174
AB011549.2	AB011549.2_74	74331	74609	+	0.00026240979151245775	0.00026240979151245775
AB011549.2	AB011549.2_75	74609	74884	+	6.723705029577038e-6	6.723705029577038e-6
AB011549.2	AB011549.2_76	74979	75185	+	0.005126036140263097	0.005126036140263097
AB011549.2	AB011549.2_77	75544	76278	-	0.00307095870371854	0.00307095870371854
AB011549.2	AB011549.2_78	76888	79098	+	0.00009635905447461304	0.00009635905447461304
AB011549.2	AB011549.2_79	79211	79531	+	0.0052061857950871345	0.0052061857950871345
AB011549.2	AB011549.2_80	79689	80576	+	0.007867396358503687	0.007867396358503687
AB011549.2	AB011549.2_81	80757	84659	+	0.024550840721790725	0.024550840721790725
AB011549.2	AB011549.2_82	85124	85396	-	0.06071243698425049	0.06071243698425049
AB011549.2	AB011549.2_83	86838	87659	+	0.0220963704889994	0.0220963704889994
AB011549.2	AB011549.2_84	87659	88765	+	0.024919886137686934	0.024919886137686934
AB011549.2	AB011549.2_85	88855	90576	+	0.00385716194932718	0.00385716194932718
AB011549.2	AB011549.2_86	90713	91648	+	0.008570245184533693	0.008570245184533693
AB011549.2	AB011549.2_87	91969	92079	-	0.012789560632601745	0.012789560632601745
AB011549.2	AB011549.2_88	92563	92721	+	0.016570084403057163	0.016570084403057163
BA000007.3	BA000007.3_1	3	98	+	0.005117655003208656	0.005117655003208656
BA000007.3	BA000007.3_2	354	2816	+	0.000010714316341984391	0.000010714316341984391
BA000007.3	BA000007.3_3	2818	3750	+	0.002551295580549288	0.002551295580549288
BA000007.3	BA000007.3_4	3751	5037	+	0.0003012662336538138	0.0003012662336538138
BA000007.3	BA000007.3_5	5251	5547	+	0.005125897766783374	0.005125897766783374
BA000007.3	BA000007.3_6	5700	6476	-	0.000019932449599140674	0.000019932449599140674
BA000007.3	BA000007.3_7	6546	7976	-	0.0007996204019372876	0.0007996204019372876
BA000007.3	BA000007.3_8	8255	9208	+	0.0034761047516648994	0.0034761047516648994
BA000007.3	BA000007.3_9	9323	9910	+	0.0023827045992835067	0.0023827045992835067
BA000007.3	BA000007.3_10	9945	10511	-	0.015365005019904794	0.015365005019904794
BA000007.3	BA000007.3_11	10660	11373	-	0.011458046581549801	0.011458046581549801
BA000007.3	BA000007.3_12	11399	11803	-	0.007096547834168396	0.007096547834168396
BA000007.3	BA000007.3_13	12180	14096	+	0.002223302385436463	0.002223302385436463
BA000007.3	BA000007.3_14	14185	15315	+	0.000028338483522364443	0.000028338483522364443
BA000007.3	BA000007.3_15	15419	15628	-	0.021794844509206067	0.021794844509206067
BA000007.3	BA000007.3_16	16157	17323	+	0.0186279837197321	0.0186279837197321
BA000007.3	BA000007.3_17	17389	18288	+	0.015097842128873445	0.015097842128873445
BA000007.3	BA000007.3_18	18326	18751	-	0.023684991407203856	0.023684991407203856
BA000007.3	BA000007.3_19	18960	19286	-	0.02073381292086864	0.02073381292086864
BA000007.3	BA000007.3_20	19299	21749	-	0.019459491582389604	0.019459491582389604
BA000007.3	BA000007.3_21	21762	22445	-	0.022552635133794387	0.022552635133794387
BA000007.3	BA000007.3_22	22495	23028	-	0.025329618535146002	0.025329618535146002
BA000007.3	BA000007.3_23	23330	24751	-	0.027824167357649546	0.027824167357649546
BA000007.3	BA000007.3_24	25221	25484	-	0.00007608104676280404	0.00007608104676280404
BA000007.3	BA000007.3_25	25819	26760	+	0.00005751815542351011	0.00005751815542351011
BA000007.3	BA000007.3_26	26803	29619	+	1.4077288019116938e-7	1.4077288019116938e-7
BA000007.3	BA000007.3_27	29619	30113	+	0.011705200631678698	0.011705200631678698
BA000007.3	BA000007.3_28	30201	30650	+	0.019509033487340316	0.019509033487340316
BA000007.3	BA000007.3_29	30652	31602	+	0.01757487601331883	0.01757487601331883
BA000007.3	BA000007.3_30	31668	32582	+	0.0034802627946932097	0.0034802627946932097
BA000007.3	BA000007.3_31	32749	33570	+	0.0016123307650342364	0.0016123307650342364
BA000007.3	BA000007.3_32	34026	35174	+	0.0017221855015723455	0.0017221855015723455
BA000007.3	BA000007.3_33	35192	38413	+	0.006231653897045812	0.006231653897045812
BA000007.3	BA000007.3_34	38421	38639	-	0.01719828983185494	0.01719828983185494
BA000007.3	BA000007.3_35	38674	39069	+	0.013502300560023078	0.013502300560023078
BA000007.3	BA000007.3_36	39188	39778	-	0.009367935571658865	0.009367935571658865
BA000007.3	BA000007.3_37	39784	40569	-	0.016241178161933177	0.016241178161933177
BA000007.3	BA000007.3_38	40678	42231	-	0.022329299862283797	0.022329299862283797
BA000007.3	BA000007.3_39	42305	43522	-	0.014829980466066428	0.014829980466066428
BA000007.3	BA000007.3_40	43651	44793	-	0.016286508647054034	0.016286508647054034
BA000007.3	BA000007.3_41	44824	46338	-	0.01060595648311142	0.01060595648311142
BA000007.3	BA000007.3_42	46817	47587	+	0.018215322202759527	0.018215322202759527
BA000007.3	BA000007.3_43	47602	48543	+	0.005676577881936306	0.005676577881936306
BA000007.3	BA000007.3_44	48594	49880	+	0.005459275099468793	0.005459275099468793
BA000007.3	BA000007.3_45	49877	50164	+	0.024880705588202788	0.024880705588202788
BA000007.3	BA000007.3_46	50222	51553	+	0.022065527803735278	0.022065527803735278
BA000007.3	BA000007.3_47	51661	52191	+	0.025581461836993797	0.025581461836993797
BA000007.3	BA000007.3_48	52184	54046	+	0.023165567629712544	0.023165567629712544
BA000007.3	BA000007.3_49	54127	54717	+	0.00014292838488284381	0.00014292838488284381
BA000007.3	BA000007.3_50	54803	55036	+	0.021060311150057968	0.021060311150057968
BA000007.3	BA000007.3_51	55039	55353	+	0.01780940329035582	0.01780940329035582
BA000007.3	BA000007.3_52	55350	56198	-	0.014314129686136491	0.014314129686136491
BA000007.3	BA000007.3_53	56205	56582	-	0.01794408292555013	0.01794408292555013
BA000007.3	BA000007.3_54	56585	57406	-	0.021193672464735254	0.021193672464735254
BA000007.3	BA000007.3_55	57403	58392	-	0.00005211297344252046	0.00005211297344252046
BA000007.3	BA000007.3_56	58392	59678	-	4.827568739634266e-9	4.827568739634266e-9
BA000007.3	BA000007.3_57	59731	62085	-	3.013234449062861e-6	3.013234449062861e-6
BA000007.3	BA000007.3_58	62340	63155	+	5.165891271927021e-7	5.165891271927021e-7
BA000007.3	BA000007.3_59	63450	64202	+	0.00512026728868137	0.00512026728868137
BA000007.3	BA000007.3_60	64620	65279	-	0.000010642929478167866	0.000010642929478167866
BA000007.3	BA000007.3_61	65291	68197	-	0.0003848273025560119	0.0003848273025560119
BA000007.3	BA000007.3_62	68361	70712	-	0.014667283568069019	0.014667283568069019
BA000007.3	BA000007.3_63	70787	71482	-	0.01067941182610811	0.01067941182610811
BA000007.3	BA000007.3_64	71682	73184	-	0.013878491971759705	0.013878491971759705
BA000007.3	BA000007.3_65	73195	74895	-	0.002524798815271115	0.002524798815271115
BA000007.3	BA000007.3_66	75234	76112	+	0.004083444473997858	0.004083444473997858
BA000007.3	BA000007.3_67	76198	76962	+	0.006666564696407335	0.006666564696407335
BA000007.3	BA000007.3_68	77049	77747	-	0.00403744362211542	0.00403744362211542
BA000007.3	BA000007.3_69	77731	79341	-	0.006571372685579024	0.006571372685579024
BA000007.3	BA000007.3_70	79317	80300	-	0.008576772240301778	0.008576772240301778
BA000007.3	BA000007.3_71	80672	81241	+	0.013342080865835434	0.013342080865835434
BA000007.3	BA000007.3_72	81207	81314	+	0.013319028531970124	0.013319028531970124
BA000007.3	BA000007.3_73	81470	83128	-	0.00766008582438621	0.00766008582438621
BA000007.3	BA000007.3_74	83456	84061	-	0.005710951066136712	0.005710951066136712
BA000007.3	BA000007.3_75	84072	85472	-	0.010362865666517894	0.010362865666517894
BA000007.3	BA000007.3_76	85475	86566	-	0.010095653880876776	0.010095653880876776
BA000007.3	BA000007.3_77	86566	88137	-	0.004986906455798059	0.004986906455798059
BA000007.3	BA000007.3_78	88974	89918	+	0.005452867518533571	0.005452867518533571
BA000007.3	BA000007.3_79	90236	91960	+	0.006352609217098136	0.006352609217098136
BA000007.3	BA000007.3_80	91963	92454	+	0.000023839408965249303	0.000023839408965249303
BA000007.3	BA000007.3_81	92634	93638	+	0.0020104423152596954	0.0020104423152596954
BA000007.3	BA000007.3_82	94240	94698	+	0.00007557257055112905	0.00007557257055112905
BA000007.3	BA000007.3_83	94700	95641	+	0.00025116004299219964	0.00025116004299219964
BA000007.3	BA000007.3_84	95638	96003	+	0.007986990276876674	0.007986990276876674
BA000007.3	BA000007.3_85	96019	97785	+	0.004818004743157971	0.004818004743157971
BA000007.3	BA000007.3_86	97772	99259	+	0.002408959819575598	0.002408959819575598
BA000007.3	BA000007.3_87	99256	100614	+	0.0018553018554993443	0.0018553018554993443
BA000007.3	BA000007.3_88	100608	101690	+	0.00026993387190787634	0.00026993387190787634
BA000007.3	BA000007.3_89	101693	103009	+	0.0003609940775419753	0.0003609940775419753
BA000007.3	BA000007.3_90	103009	104253	+	0.0008331972096599524	0.0008331972096599524
BA000007.3	BA000007.3_91	104250	105317	+	0.008864715657488403	0.008864715657488403
BA000007.3	BA000007.3_92	105371	106846	+	0.0028119604424903665	0.0028119604424903665
BA000007.3	BA000007.3_93	106839	107759	+	0.007635062492971129	0.007635062492971129
BA000007.3	BA000007.3_94	107761	108591	+	0.00013476061209188335	0.00013476061209188335
BA000007.3	BA000007.3_95	108588	109850	+	0.000011988826674462726	0.000011988826674462726
BA000007.3	BA000007.3_96	109911	111062	+	2.244005922067001e-6	2.244005922067001e-6
BA000007.3	BA000007.3_97	111163	112080	+	0.0006765119290822486	0.0006765119290822486
BA000007.3	BA000007.3_98	112236	112823	+	0.005438365821643838	0.005438365821643838
BA000007.3	BA000007.3_99	112885	115590	+	0.000017537460012781378	0.000017537460012781378
BA000007.3	BA000007.3_100	115650	116048	+	0.004910912646460804	0.004910912646460804
BA000007.3	BA000007.3_101	116139	116336	-	0.00974596037411152	0.00974596037411152
BA000007.3	BA000007.3_102	116346	117089	-	0.011152053167756908	0.011152053167756908
BA000007.3	BA000007.3_103	117089	117709	-	0.00013338637868280981	0.00013338637868280981
BA000007.3	BA000007.3_104	117934	118977	+	0.005239295092812998	0.005239295092812998
BA000007.3	BA000007.3_105	119012	120214	-	7.989760657439955e-6	7.989760657439955e-6
BA000007.3	BA000007.3_106	120204	121589	-	0.000951891580211502	0.000951891580211502
BA000007.3	BA000007.3_107	121599	122039	-	0.0011766827796678841	0.0011766827796678841
BA000007.3	BA000007.3_108	122242	123135	-	0.0046614534636152845	0.0046614534636152845
BA000007.3	BA000007.3_109	123223	123774	+	0.0023797482789230293	0.0023797482789230293
BA000007.3	BA000007.3_110	123771	124625	+	0.011969161506488963	0.011969161506488963
BA000007.3	BA000007.3_111	124668	126038	-	0.007667334522182874	0.007667334522182874
BA000007.3	BA000007.3_112	126582	127346	+	0.007362317996450642	0.007362317996450642
BA000007.3	BA000007.3_113	127507	130170	+	0.011707817843551896	0.011707817843551896
BA000007.3	BA000007.3_114	130185	132077	+	0.0037839092172659537	0.0037839092172659537
BA000007.3	BA000007.3_115	132285	133709	+	1.0505060627773432e-6	1.0505060627773432e-6
BA000007.3	BA000007.3_116	133780	135633	-	0.01742537050809422	0.01742537050809422
BA000007.3	BA000007.3_117	135988	138585	+	0.013756644542395972	0.013756644542395972
BA000007.3	BA000007.3_118	138761	139123	+	0.01369909100840248	0.01369909100840248
BA000007.3	BA000007.3_119	139161	139955	-	0.017385429504804855	0.017385429504804855
BA000007.3	BA000007.3_120	139971	140837	-	0.0002637117426861241	0.0002637117426861241
BA000007.3	BA000007.3_121	140943	141290	-	0.025105869752288557	0.025105869752288557
BA000007.3	BA000007.3_122	141456	143006	+	0.022315980542480875	0.022315980542480875
BA000007.3	BA000007.3_123	143208	145598	-	0.02332429356716747	0.02332429356716747
BA000007.3	BA000007.3_124	145804	146340	+	0.0038508273451276437	0.0038508273451276437
BA000007.3	BA000007.3_125	146381	147043	-	0.005058028717041588	0.005058028717041588
BA000007.3	BA000007.3_126	147152	148078	+	0.012369424840841671	0.012369424840841671
BA000007.3	BA000007.3_127	148075	148845	+	0.013608515301701358	0.013608515301701358
BA000007.3	BA000007.3_128	148950	149390	+	0.0006250612545488731	0.0006250612545488731
BA000007.3	BA000007.3_129	149454	150683	+	0.005269271467113973	0.005269271467113973
BA000007.3	BA000007.3_130	150687	151067	-	0.010685335193785997	0.010685335193785997
BA000007.3	BA000007.3_131	151341	152237	+	0.011323747940665213	0.011323747940665213
BA000007.3	BA000007.3_132	152536	153387	-	0.0036837245029359964	0.0036837245029359964
BA000007.3	BA000007.3_133	153399	154193	-	0.00016109949656563808	0.00016109949656563808
BA000007.3	BA000007.3_134	154328	155437	-	0.026357616480773637	0.026357616480773637
BA000007.3	BA000007.3_135	155449	156039	-	0.023709951483040052	0.023709951483040052
BA000007.3	BA000007.3_136	156060	156665	-	0.020761615449178275	0.020761615449178275
BA000007.3	BA000007.3_137	156680	157228	-	0.017507316376482604	0.017507316376482604
BA000007.3	BA000007.3_138	157242	159842	-	0.02080084942082097	0.02080084942082097
BA000007.3	BA000007.3_139	159884	160609	-	0.02375668552449892	0.02375668552449892
BA000007.3	BA000007.3_140	160696	161292	-	0.02641130113374803	0.02641130113374803
BA000007.3	BA000007.3_141	161573	162055	-	0.0002800122524929082	0.0002800122524929082
BA000007.3	BA000007.3_142	162052	163416	-	0.001508536868913097	0.001508536868913097
BA000007.3	BA000007.3_143	163509	164435	-	0.00010256316813026522	0.00010256316813026522
BA000007.3	BA000007.3_144	164472	164927	-	5.8808014470522166e-6	5.8808014470522166e-6
BA000007.3	BA000007.3_145	165105	165809	-	0.009681635495964765	0.009681635495964765
BA000007.3	BA000007.3_146	165824	166354	-	0.009702193644812531	0.009702193644812531
BA000007.3	BA000007.3_147	166428	168857	+	0.000012716899880391315	0.000012716899880391315
