sequence_id	protein_id	gene_start	gene_end	gene_strand	pfam_id	deepbgc_score	in_cluster
BA000007.3	BA000007.3_2	353	2816	1	PF00696	0.04863	0
BA000007.3	BA000007.3_2	353	2816	1	PF01842	0.05004	0
BA000007.3	BA000007.3_2	353	2816	1	PF13840	0.04646	0
BA000007.3	BA000007.3_2	353	2816	1	PF03447	0.04415	0
BA000007.3	BA000007.3_2	353	2816	1	PF00742	0.04526	0
BA000007.3	BA000007.3_3	2817	3750	1	PF00288	0.05804	0
BA000007.3	BA000007.3_3	2817	3750	1	PF08544	0.05993	0
BA000007.3	BA000007.3_4	3750	5037	1	PF14821	0.03854	0
BA000007.3	BA000007.3_4	3750	5037	1	PF00291	0.04327	0
BA000007.3	BA000007.3_5	5250	5547	1	PF10697	0.04474	0
BA000007.3	BA000007.3_6	5699	6476	-1	PF03883	0.04823	0
BA000007.3	BA000007.3_7	6545	7976	-1	PF02990	0.02748	0
BA000007.3	BA000007.3_7	6545	7976	-1	PF01235	0.02187	0
BA000007.3	BA000007.3_8	8254	9208	1	PF00923	0.02134	0
BA000007.3	BA000007.3_9	9322	9910	1	PF00994	0.02639	0
BA000007.3	BA000007.3_10	9944	10511	-1	PF01184	0.02444	0
BA000007.3	BA000007.3_11	10659	11373	-1	PF03981	0.01083	0
BA000007.3	BA000007.3_11	10659	11373	-1	PF13099	0.00868	0
BA000007.3	BA000007.3_12	11398	11803	-1	PF10807	0.01208	0
BA000007.3	BA000007.3_13	12179	14096	1	PF00012	0.00331	0
BA000007.3	BA000007.3_13	12179	14096	1	PF06723	0.00204	0
BA000007.3	BA000007.3_13	12179	14096	1	PF02782	0.00262	0
BA000007.3	BA000007.3_14	14184	15315	1	PF00226	0.00134	0
BA000007.3	BA000007.3_14	14184	15315	1	PF01556	0.00091	0
BA000007.3	BA000007.3_14	14184	15315	1	PF14522	0.0009	0
BA000007.3	BA000007.3_14	14184	15315	1	PF15777	0.00064	0
BA000007.3	BA000007.3_14	14184	15315	1	PF00684	0.00092	0
BA000007.3	BA000007.3_15	15418	15628	-1	PF01848	0.00224	0
BA000007.3	BA000007.3_16	16156	17323	1	PF06965	0.00223	0
BA000007.3	BA000007.3_17	17388	18288	1	PF00126	0.00189	0
BA000007.3	BA000007.3_17	17388	18288	1	PF03466	0.00146	0
BA000007.3	BA000007.3_20	19298	21749	-1	PF13953	0.00086	0
BA000007.3	BA000007.3_20	19298	21749	-1	PF00577	0.00064	0
BA000007.3	BA000007.3_20	19298	21749	-1	PF13954	0.00074	0
BA000007.3	BA000007.3_21	21761	22445	-1	PF02753	0.00085	0
BA000007.3	BA000007.3_21	21761	22445	-1	PF00345	0.00104	0
BA000007.3	BA000007.3_22	22494	23028	-1	PF00419	0.00234	0
BA000007.3	BA000007.3_23	23329	24751	-1	PF10833	0.00569	0
BA000007.3	BA000007.3_24	25220	25484	-1	PF01649	0.00185	0
BA000007.3	BA000007.3_25	25818	26760	1	PF06574	0.00111	0
BA000007.3	BA000007.3_25	25818	26760	1	PF01687	0.00076	0
BA000007.3	BA000007.3_26	26802	29619	1	PF00133	0.00045	0
BA000007.3	BA000007.3_26	26802	29619	1	PF09334	0.0003	0
BA000007.3	BA000007.3_26	26802	29619	1	PF13603	0.00025	0
BA000007.3	BA000007.3_26	26802	29619	1	PF01921	0.00027	0
BA000007.3	BA000007.3_26	26802	29619	1	PF01406	0.00035	0
BA000007.3	BA000007.3_26	26802	29619	1	PF08264	0.00046	0
BA000007.3	BA000007.3_26	26802	29619	1	PF06827	0.00107	0
BA000007.3	BA000007.3_27	29618	30113	1	PF01252	0.00167	0
BA000007.3	BA000007.3_28	30200	30650	1	PF00254	0.00418	0
BA000007.3	BA000007.3_29	30651	31602	1	PF02401	0.01162	0
BA000007.3	BA000007.3_30	31667	32582	1	PF01156	0.02011	0
BA000007.3	BA000007.3_31	32748	33570	1	PF01113	0.01734	0
BA000007.3	BA000007.3_31	32748	33570	1	PF05173	0.01088	0
BA000007.3	BA000007.3_32	34025	35174	1	PF00988	0.0072	0
BA000007.3	BA000007.3_32	34025	35174	1	PF00117	0.01022	0
BA000007.3	BA000007.3_32	34025	35174	1	PF01965	0.00998	0
BA000007.3	BA000007.3_32	34025	35174	1	PF07722	0.01719	0
BA000007.3	BA000007.3_33	35191	38413	1	PF02786	0.0367	0
BA000007.3	BA000007.3_33	35191	38413	1	PF13535	0.04411	0
BA000007.3	BA000007.3_33	35191	38413	1	PF02787	0.02697	0
BA000007.3	BA000007.3_33	35191	38413	1	PF15632	0.04779	0
BA000007.3	BA000007.3_33	35191	38413	1	PF02655	0.05532	0
BA000007.3	BA000007.3_33	35191	38413	1	PF02222	0.05505	0
BA000007.3	BA000007.3_33	35191	38413	1	PF07478	0.06465	0
BA000007.3	BA000007.3_33	35191	38413	1	PF02142	0.05579	0
BA000007.3	BA000007.3_35	38673	39069	1	PF07180	0.10987	0
BA000007.3	BA000007.3_36	39187	39778	-1	PF00132	0.17294	0
BA000007.3	BA000007.3_36	39187	39778	-1	PF14602	0.1723	0
BA000007.3	BA000007.3_37	39783	40569	-1	PF00378	0.25412	0
BA000007.3	BA000007.3_37	39783	40569	-1	PF16113	0.25042	0
BA000007.3	BA000007.3_38	40677	42231	-1	PF13193	0.36809	0
BA000007.3	BA000007.3_38	40677	42231	-1	PF00501	0.41539	0
BA000007.3	BA000007.3_39	42304	43522	-1	PF02515	0.36445	0
BA000007.3	BA000007.3_40	43650	44793	-1	PF00441	0.35259	0
BA000007.3	BA000007.3_40	43650	44793	-1	PF08028	0.38677	0
BA000007.3	BA000007.3_40	43650	44793	-1	PF02770	0.42529	0
BA000007.3	BA000007.3_40	43650	44793	-1	PF02771	0.47008	0
BA000007.3	BA000007.3_41	44823	46338	-1	PF02028	0.31	0
BA000007.3	BA000007.3_41	44823	46338	-1	PF13903	0.28053	0
BA000007.3	BA000007.3_42	46816	47587	1	PF01012	0.31332	0
BA000007.3	BA000007.3_43	47601	48543	1	PF01012	0.23524	0
BA000007.3	BA000007.3_43	47601	48543	1	PF00766	0.24738	0
BA000007.3	BA000007.3_44	48593	49880	1	PF01494	0.28214	0
BA000007.3	BA000007.3_44	48593	49880	1	PF03486	0.2512	0
BA000007.3	BA000007.3_44	48593	49880	1	PF05834	0.3296	0
BA000007.3	BA000007.3_44	48593	49880	1	PF01134	0.25678	0
