input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
CONTROL_REP3.mapping.ARG.deeparg	MDTK	AML99881.1|FEATURES|MdtK|fluoroquinolone|MdtK	deeparg_db	2	AML99881.1	deeparg	1.0.4	gene_presence_detected					fluoroquinolone		1	470				NC_000913.3_1952															82.8
CONTROL_REP3.mapping.ARG.deeparg	TRANSCRIPTIONAL_REGULATORY_PROTEIN_CPXR_CPXR	CP000034.1.gene3834.p01|FEATURES|transcriptional_regulatory_protein_CpxR_cpxR|unclassified|transcriptional_regulatory_protein_CpxR_cpxR	deeparg_db	2	CP000034.1.gene3834.p01	deeparg	1.0.4	gene_presence_detected					unclassified		1	232				NC_000913.3_3833															100.0
CONTROL_REP3.mapping.ARG.deeparg	BICYCLOMYCIN-MULTIDRUG_EFFLUX_PROTEIN_BCR	AAC75243|FEATURES|bicyclomycin-multidrug_efflux_protein_bcr|multidrug|bicyclomycin-multidrug_efflux_protein_bcr	deeparg_db	2	AAC75243	deeparg	1.0.4	gene_presence_detected					multidrug		1	396				NC_000913.3_2149															100.0
CONTROL_REP3.mapping.ARG.deeparg	PENA	YP_002045964|FEATURES|penA|beta-lactam|penA	deeparg_db	2	YP_002045964	deeparg	1.0.4	gene_presence_detected					beta-lactam		2	623				NC_000913.3_624															58.7
CONTROL_REP3.mapping.ARG.deeparg	SDIA	gi:595588364:pdb:4LFU:A|FEATURES|sdiA|unclassified|sdiA	deeparg_db	2	gi:595588364:pdb:4LFU:A	deeparg	1.0.4	gene_presence_detected					unclassified		1	240				NC_000913.3_1889															100.0
CONTROL_REP3.mapping.ARG.deeparg	OMPF	gi:447175075:ref:WP_001252331.1:|FEATURES|ompF|multidrug|ompF	deeparg_db	2	gi:447175075:ref:WP_001252331.1:	deeparg	1.0.4	gene_presence_detected					multidrug		1	617				NC_000913.3_2029															100.0
CONTROL_REP3.mapping.ARG.deeparg	CLASS_C	AAC77110|FEATURES|class_C|beta-lactam|class_C	deeparg_db	2	AAC77110	deeparg	1.0.4	gene_presence_detected					beta-lactam		1	377				NC_000913.3_4071															100.0
CONTROL_REP3.mapping.ARG.deeparg	MDFA	NP_752857|FEATURES|mdfA|multidrug|mdfA	deeparg_db	2	NP_752857	deeparg	1.0.4	gene_presence_detected					multidrug		11	420				NC_000913.3_815															100.0
CONTROL_REP3.mapping.ARG.deeparg	BACA	A8A4L2|FEATURES|bacA|bacitracin|bacA	deeparg_db	2	A8A4L2	deeparg	1.0.4	gene_presence_detected					bacitracin		1	273				NC_000913.3_2997															100.0
CONTROL_REP3.mapping.ARG.deeparg	BAER	YP_490321.1|FEATURES|baeR|multidrug|baeR	deeparg_db	2	YP_490321.1	deeparg	1.0.4	gene_presence_detected					multidrug		1	240				NC_000913.3_2045															100.0
