input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	confers_resistance_to	resistance_to_drug_classes
CONTROL_REP2.mapping.ARG.deeparg	BICYCLOMYCIN-MULTIDRUG_EFFLUX_PROTEIN_BCR	NP_288765|FEATURES|bicyclomycin-multidrug_efflux_protein_bcr|multidrug|bicyclomycin-multidrug_efflux_protein_bcr	deeparg_db	2	NP_288765	deeparg	1.0.4	gene_presence_detected					multidrug		1	396				BA000007.3_2986															100.0	ARO:3003801	ARO:0000055	ARO:3007150
CONTROL_REP2.mapping.ARG.deeparg	OMPF	gi:377849761:gb:EHU14730.1:|FEATURES|ompF|multidrug|ompF	deeparg_db	2	gi:377849761:gb:EHU14730.1:	deeparg	1.0.4	gene_presence_detected					multidrug		1	355				BA000007.3_261															62.3	ARO:3004122	ARO:0000004,ARO:0000008,ARO:0000020,ARO:0000032,ARO:0000044,ARO:3000008,ARO:3000645,ARO:3003706	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	COB(I)ALAMIN_ADENOLSYLTRANSFERASE	gi:447201641:ref:WP_001278897.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	deeparg_db	2	gi:447201641:ref:WP_001278897.1:	deeparg	1.0.4	gene_presence_detected					unclassified		1	196				BA000007.3_738															67.9	ARO:3006747	ARO:0000004,ARO:0000020,ARO:0000032	ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	PENA	YP_002045964|FEATURES|penA|beta-lactam|penA	deeparg_db	2	YP_002045964	deeparg	1.0.4	gene_presence_detected					beta-lactam		2	623				BA000007.3_657															58.7	ARO:3000617	ARO:0000015,ARO:3000008	ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	TOLC	BAB37346|FEATURES|TolC|multidrug|TolC	deeparg_db	2	BAB37346	deeparg	1.0.4	gene_presence_detected					multidrug		3	495				BA000007.3_3832															100.0	ARO:3000237		
CONTROL_REP2.mapping.ARG.deeparg	PORIN_OMPC	APB87301|FEATURES|porin_OmpC|beta-lactam|porin_OmpC	deeparg_db	2	APB87301	deeparg	1.0.4	gene_presence_detected					beta-lactam		1	367				BA000007.3_3017															97.8	ARO:3004122	ARO:0000004,ARO:0000008,ARO:0000020,ARO:0000032,ARO:0000044,ARO:3000008,ARO:3000645,ARO:3003706	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	COB(I)ALAMIN_ADENOLSYLTRANSFERASE	gi:447201622:ref:WP_001278878.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	deeparg_db	2	gi:447201622:ref:WP_001278878.1:	deeparg	1.0.4	gene_presence_detected					unclassified		1	196				BA000007.3_1766															100.0	ARO:3006747	ARO:0000004,ARO:0000020,ARO:0000032	ARO:3000007,ARO:3000007,ARO:3000007
CONTROL_REP2.mapping.ARG.deeparg	YOJI	NP_416715.1|FEATURES|YojI|peptide|YojI	deeparg_db	2	NP_416715.1	deeparg	1.0.4	gene_presence_detected					peptide		1	547				BA000007.3_3013															99.3	ARO:3003952	ARO:3003951	ARO:3000053
CONTROL_REP2.mapping.ARG.deeparg	UGD	AAC75089.1|FEATURES|ugd|peptide|ugd	deeparg_db	2	AAC75089.1	deeparg	1.0.4	gene_presence_detected					peptide		1	388				BA000007.3_2746															99.2	ARO:3003577	ARO:3000454	ARO:3000053
CONTROL_REP2.mapping.ARG.deeparg	MDTK	NC_002695.1.912329.p01|FEATURES|mdtK|multidrug|mdtK	deeparg_db	2	NC_002695.1.912329.p01	deeparg	1.0.4	gene_presence_detected					multidrug		1	457				BA000007.3_2296															100.0	ARO:3003953	ARO:0000045,ARO:3000662	ARO:0000001,ARO:3005386
