locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKMANJED_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
JKMANJED_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
JKMANJED_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
JKMANJED_00004	CDS	297				hypothetical protein
JKMANJED_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
JKMANJED_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
JKMANJED_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
JKMANJED_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
JKMANJED_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
JKMANJED_00010	CDS	714				hypothetical protein
JKMANJED_00011	CDS	405				hypothetical protein
JKMANJED_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
JKMANJED_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
JKMANJED_00014	CDS	1113			COG3385	IS4 family transposase IS421
JKMANJED_00015	CDS	141				hypothetical protein
JKMANJED_00016	CDS	153	hokC_1			Toxic protein HokC
JKMANJED_00017	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
JKMANJED_00018	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
JKMANJED_00019	CDS	378			COG1662	IS1 family transposase IS1A
JKMANJED_00020	CDS	276			COG1662	IS1 family transposase IS1A
JKMANJED_00021	CDS	264	rpsT		COG0268	30S ribosomal protein S20
JKMANJED_00022	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
JKMANJED_00023	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
JKMANJED_00024	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
JKMANJED_00025	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
